08CN,Tulare Motor Sports #1 Heliport
08CO,Terra Firma Airport
08CT,Seavair's Landing Seaplane Base
08F,City of Coalgate Airport
08FA,Duda Airstrip
08FD,Sunniland Ranch Airport
08FL,J. H. Hendrie Farms Airport
08G,Salt Fork Lodge Heliport
08GA,Sapelo Island Airport
08ID,Symms Airport
08II,Parkview Lagrange Hospital Heliport
08IL,Harms Airstrip
08IN,Winona Lake Seaplane Base
08IS,Hemmer RLA Restricted Landing Area
08KS,Alderson Airport
08KT,Methodist Health Heliport
08KY,Boss Airport
08LA,Air Oil Inc Nr 2 Heliport
08LL,Sauer Airport
08LS,Aeleron Airport
08MA,Wormid Airport
08MD,UM Saint Joseph Medical Center Heliport
08ME,Lindbergh Airport
08MI,Sparrow Hospital Heliport
08MN,Christenson Point Seaplane Base
08MO,Twin Oaks Airport
08MS,Williams Field
08MT,Matovich Airport
08N,Keller Brothers Airport
08NC,Whiteheart Farm Airport
08ND,Brecht Strip
08NE,Laurel Municipal Airport
08NH,Memorial Hospital Heliport
08NJ,St Barnabas Medical Center Heliport
08NR,Bell Mountain Airport
08NY,Md1 Airport
08OH,Kenley Airport
08OK,Parks Airport
08OL,Broken B Airport
08OR,Saxon Sycan Airport
08PA,Pocono Raceway Heliport
08PN,Thomson Heliport
08R,Richmond Airport
08SD,Douglas County Memorial Hospital Heliport
08TA,Rancho Del Lago Heliport
08TE,B J McCombs Sisterdale Airport
08TN,PTC Airport
08TS,Puesta Del Sol Airport
08TT,LZ Tango Charlie Airport
08TX,Cross Wind Airport
08U,Stevens-Crosby Airport
08VA,Springwood Airstrip
08WA,Manchester Laboratory Heliport
08WI,Pierick Airport
08XA,Knolle Ranch Airport
08XS,Peterson Airport
09AA,Sheldon Chalet Heliport
09AK,West Beaver Airport
09AL,Greene County Hospital & Nursing Home Heliport
09AR,Magnolia Hospital Heliport
09AZ,Stronghold Airport
09CA,Mee Memorial Hospital Heliport
09CL,Alta Sierra Airport
09CN,Tulare Motor Sports #2 Heliport
09CO,Cottonwood Field
09FA,Placid Lakes Airport
09FD,Cheryl-Lane Landings Airport
09FL,Sunnybreeze Airport
09GA,Sunbelt Strip
09I,International Falls Seaplane Base
09IA,Skydive Iowa Airport
09ID,Taylor Ranch Landing Area Airport
09II,Gibbons Field
09IL,Silver Cross Hospital Heliport
09IN,Gordon Airport
09IS,Swedish American Heliport
09KS,Coffman Airport
09KY,Baptist Hospital East Heliport
09LA,Era Helicopters Fourchon Helibase Heliport
09LL,Pine Hill Airport
09LS,West Feliciana Sheriff's Office Heliport
09MA,Kallander Field
09ME,Perrotti Skyranch Airfield
09MI,Michigan National Guard Headquarters Heliport
09MN,W Johnson Field
09MO,Hogue Farm Airport
09N,Airhaven Airport
09NC,William Irving Lewis Airport
09NE,Summer Hill Farm Airport
09NJ,Stonebridge Farm Helistop
09NR,Dakota Air Ranch Airport
09NY,Spring Lake Fire Department Heliport
09OK,Ragtime Aerodrome
09OR,Mid-Columbia Medical Center Heliport
09PA,Eagle Field
09PN,Hundley Residence Heliport
09S,Sullivan Lake State Airport
09TA,Lazy G Bar Ranch Airport
09TE,Running M Ranch Airport
09TN,Univ of Tennessee Medical Center Heliport
09TS,Pitcock Rosillos Mountain Ranch Airport
09TX,Smokey Mountain Ranch Airport
09VA,Alum Ridge STOLport
09VG,Augusta Medical Center Heliport
09W,South Capitol Street Heliport
09WA,Holy Family Hospital Heliport
09WI,Parkway Farm Strip
09XS,Baptist Medical Center Heliport
09Y,Wipline Seaplane Base
0AA6,Big Salmon Heliport
0AA7,Kalifornsky Meadows Airport
0AK,Pilot Station Airport
0AK0,Scotts Airport
0AK1,Anderson Lake Airport
0AK2,Yentna Bend Strip
0AK3,Parker Lake Airport
0AK5,Young Creek Airport
0AK6,Victory Airport
0AK7,Bradley Lake Hydroelectric Project Airstrip
0AK8,Pollux Heliport
0AK9,Falcon Lake Strip
0AL0,Huntsville Field
0AL1,Resort Airport
0AL2,Clay County Hospital Heliport
0AL3,Hospital Pad Heliport
0AL4,Dekalb Regional Medical Center Heliport
0AL5,Flomaton Airport
0AL6,D.W. Mcmillian Memorial Hospital Heliport
0AL7,Gadsden Regl Medical Center Heliport
0AL8,Brookwood Medical Center Heliport
0AL9,Wilson Creek Airport
0AR0,Northwest Medical Center Springdale Heliport
0AR1,Hooterville South Airport
0AR2,Mission Field-Marotti Memorial Airport
0AR3,Taylor's Air Strip
0AR4,Ozarks Community Hospital Heliport
0AR5,Rgnl Medical Center Heliport
0AR6,Ami National Park Medical Center Heliport
0AR7,Yancopin Airport
0AR8,Howard Memorial Hospital Heliport
0AR9,Eureka Springs Hospital Heliport
0AZ0,Arizona Heart Hospital Heliport
0AZ1,Taylor Field
0AZ2,Western Sky Airport
0AZ4,Flying Bucket Ranch Airport
0AZ5,Castle Well Airport
0AZ6,St Joseph's Hospital Heliport
0AZ7,Sunstate Heliport
0B2,Brewer Airport
0B7,Warren-Sugarbush Airport
0C1,Triple R Airport
0C2,Hinckley Airport
0C5,Canadian Lakes Airport
0C7,Grandpas' Farm Mendota Airport
0C8,Cushing Field Ltd Airport
0C9,Coach & Paddock Heliport
0CA0,Drew Medical Center Heliport
0CA1,Northside Airpark
0CA2,VA Greater Los Angeles Health Care Center Heliport
0CA3,Crawford Airport
0CA4,Shepherd Farm Airport
0CA5,Hoffman Private Airport
0CA6,Emory Ranch Airport
0CA7,Boeing Seal Beach (Rooftop) Heliport
0CA8,Ward Ranch Airport
0CA9,Blech Ranch Airport
0CD0,Delta County Memorial Hospital Heliport
0CD1,Colorado Plains Medical Center Heliport
0CD2,Foxx Valley Airport
0CD3,Branch's Heliport
0CD4,Kauffman Heliport
0CD5,Piñon Canyon Airport
0CD6,Exempla Good Samaritan Heliport
0CD7,Fox Hole Airport
0CD8,Prowers Medical Center Heliport
0CD9,Swedish S.W. Medical Heliport
0CL0,Yosemite Hidden Lake Ranch Airport
0CL1,Krey Field Airport
0CL2,Parking Lot Heliport
0CL3,John Nichols Field Airport
0CL4,Glen Fed Heliport
0CL5,The Atrium Heliport
0CL6,Bohunk's Airpark
0CL7,Good Samaritan Hospital Heliport
0CL8,Tera Ultralightport
0CL9,Sce San Jacinto Valley Service Center Heliport
0CN1,Fiorini Ranch Airport
0CN2,Sutter Butte Dusters Airport
0CO0,Longmont United Hospital Heliport
0CO1,Dave's Airport
0CO2,Crested Butte Airpark
0CO3,Greggs Nr 1 Airport
0CO4,Geo-Seis Helicopters Heliport
0CO5,Chenoweth Airport
0CO6,Flying M & M Ranch Airport
0CO7,Century Helicopters Heliport
0CO8,Cartwheel Airport
0CO9,Van Treese Airport
0CT0,Sharon Hospital Heliport
0CT1,Bristol-Myers Squibb Company Heliport
0CT2,Windham Hospital Heliport
0CT3,N B G H Heliport
0CT4,Burke Heliport
0CT5,St Francis Hospital Heliport
0CT6,Middletown Heliport
0CT7,Bridgeport Hospital Heliport
0CT8,Danbury Hospital Heliport
0CT9,Hartford Hospital Heliport
0D6,Wilber Municipal Airport
0D7,Ada Airport
0D9,Air Park North
0E9,Corydon Airport
0FA0,Doral Resort & Country Club Heliport
0FA1,Ott's Landing Airport
0FA2,Doctors Memorial Hospital #2 Heliport
0FA3,Brighton Helipad
0FA5,Briley Farm Seaplane Base
0FA6,Immokalee Helipad
0FD0,The 2A Ranch Airport
0FD1,Panhandle Helicopter LLC Heliport
0FD2,Hard Rock Stadium Heliport
0FD3,Dugger Field
0FD4,Cloverleaf Farms II Inc Heliport
0FD5,Breezy Knoll Airport
0FD6,Fulton Seaplane Base
0FD9,Joy Farms Airport
0FL0,Harper's Fly-In Ranch Airport
0FL1,Thompson Airfield
0FL2,Alligator Drink Seaplane Base
0FL3,Old Town Ems Heliport
0FL4,Jackson Heliport
0FL5,Lake Conway South Seaplane Base
0FL6,Stanchester Airport
0FL7,Wcpx Tv-6 Heliport
0FL8,Gary Gale Seaplane Base
0FL9,Mc Daniel Ranch Inc. Airport
0G0,North Buffalo Suburban Airport
0G5,Grand Marais/Cook County Seaplane Base
0GA0,Halls Flying Ranch Airport
0GA1,Mustang Field
0GA2,"Airnautique, Inc. Airport"
0GA3,Ayresouth Airport
0GA4,Paradise Falls Airport
0GA5,Big Canoe Heliport
0GA6,Sunset Strip
0GA7,Hickory Level Airfield
0GA8,Paso Fino Farm Airport
0GA9,Roberta Industrial Park Airport
0GE0,Pinewood Airport
0GE1,Crystal Lake Airpark
0GE3,Lookout Mountain Airport
0GE4,Pecan Patch Airstrip
0GE5,Mountain Airpark
0GE7,Carpenter Airport
0GE9,Pegasus Ranch Airport
0H7,Kahoka Municipal Airport
0I2,Brazil Clay County Airport
0IA0,Knoxville Area Community Hospital Heliport
0IA1,St Anthony Regional Hospital Heliport
0IA2,Audubon County Memorial Hospital Heliport
0IA3,Hawkeye Airport
0IA4,Sharar Field
0IA5,Moore Private Airport
0IA6,Rinehart Airport
0IA7,Cromwell Heliport
0IA8,Hannen Airport
0IA9,Army Reserve Heliport
0ID0,South Fork Ranch Airport
0ID1,Ziggy's Airport
0ID2,Flying Joseph Ranch Airport
0ID3,Coyote Run Airport
0ID4,Black Butte Ranch Airport
0ID5,Ez Lope Ranch Airport
0ID6,Steele Memorial Heliport
0ID7,Z X Ranch Airport
0ID8,Pinnacle Airport
0ID9,Corral Creek Airport
0II0,Chuck's Airport
0II1,Unsicker Airport
0II2,Creighton Airport
0II3,Miller Strip
0II5,Marshall Field
0II6,Kropf Airport
0II7,Frost Field
0II8,Sutton's Field
0II9,Winters Airport
0IL0,Hamilton Memorial Hospital Heliport
0IL1,Loyola University Medical Center Heliport
0IL2,Griffin Airport
0IL3,Flying B Ranch Airport
0IL4,Advocate Good Samaritan Hospital Heliport
